Branch ID,Product A (Unit(s) Sold),Product B (Unit(s) Sold),Product C (Unit(s) Sold),Product D (Unit(s) Sold),Product E (Unit(s) Sold),Product F (Unit(s) Sold)
000119,12,19,9,17,6,14
000120,5,10,13,8,9,18
000121,6,10,13,17,6,11
000122,11,9,16,9,6,6
000123,3,6,15,6,17,12
000124,9,13,8,5,8,4
000125,11,11,10,3,6,18
000126,19,5,7,18,19,7
000127,4,18,2,13,17,9
000128,6,9,9,15,11,8
000129,7,8,15,5,9,13
000130,2,2,6,19,17,19
000131,12,3,2,9,6,16
000132,13,13,20,13,19,19
000133,5,15,17,10,2,1
000134,11,1,5,2,10,9
000135,4,17,18,14,4,4
000136,7,10,6,8,19,3
000137,11,3,4,4,9,12
000138,19,17,8,2,19,2
000139,18,10,0,15,1,4
000140,5,16,4,20,19,17
000141,17,2,12,16,16,1
000142,11,7,4,12,2,2
000143,8,19,9,12,14,4
000144,3,16,8,5,12,19
000145,4,10,6,13,4,7
000146,5,0,7,4,10,4
000147,11,5,17,10,9,11
000148,18,14,16,3,0,14
000149,5,10,5,19,13,20
000150,14,14,3,5,2,16
000151,2,8,19,13,8,13
000152,16,14,1,13,3,14
000153,8,14,20,6,14,4
000154,8,3,9,1,12,16
000155,7,7,1,16,13,3
000156,13,9,14,8,11,14
000157,10,14,15,8,11,0
000158,15,6,18,13,13,12
000159,5,5,5,14,16,13
000160,1,7,4,5,17,16
000161,15,14,10,0,6,13
000162,2,13,5,17,10,13
000163,6,15,12,13,3,18
000164,8,1,7,4,8,12
000165,9,10,16,1,10,4
000166,11,8,13,15,2,10
000167,13,14,5,4,11,18
000168,7,16,16,13,0,15
000169,5,15,17,13,3,13
000170,2,6,13,18,13,13
000171,6,4,7,4,7,18
000172,3,2,6,8,7,20
000173,9,11,9,3,19,18
000174,17,17,7,12,13,9
000175,5,10,17,0,13,8
000176,7,3,7,7,3,5
000177,12,20,15,2,8,10
000178,4,4,17,17,19,7
000179,2,17,1,6,7,5
000180,14,13,16,11,2,20
000181,7,1,3,18,7,18
000182,13,14,3,19,10,1
000183,17,7,2,4,13,1
000184,12,1,18,6,4,3
000185,7,8,6,1,2,15
000186,5,5,19,10,16,3
000187,4,3,10,0,1,6
000188,17,2,10,4,17,9
000189,8,1,3,6,12,17
000190,0,11,5,19,13,9
000191,10,5,7,13,7,16
000192,11,10,13,1,15,18
000193,19,1,13,2,10,15
000194,16,5,12,10,0,8
000195,12,7,3,15,9,1
000196,2,1,10,16,14,5
000197,4,4,8,1,12,2
000198,6,7,10,9,5,12
000199,8,13,13,19,19,10
000200,19,13,12,15,10,2
000201,16,11,15,4,2,9
000202,19,9,2,14,16,19
000203,3,18,11,11,1,9
000204,0,18,4,6,3,19
000205,9,1,4,14,10,18
000206,2,14,11,5,7,9
000207,19,11,3,7,16,0
000208,3,14,16,15,8,7
000209,2,18,8,20,7,19
000210,8,11,7,2,6,17
000211,9,10,2,9,0,3
000212,1,19,15,13,6,14
000213,15,11,2,12,19,8
000214,16,20,11,4,10,17
000215,16,14,7,8,20,10
000216,4,11,8,4,3,4
000217,4,4,4,16,20,18
000218,0,2,6,0,16,17
000219,9,9,11,10,2,11
000220,4,4,17,18,11,2
000221,2,9,15,1,18,20
000222,16,19,10,13,19,7
000223,1,4,10,10,2,17
000224,7,13,6,15,3,10
000225,2,9,15,12,13,5
000226,1,3,20,15,13,8
000227,16,4,15,13,16,12
000228,18,12,11,2,19,8
000229,16,17,1,15,4,18
000230,15,1,18,10,5,11
000231,1,20,20,11,3,7
000232,7,2,2,2,13,15
000233,14,16,8,14,14,20
000234,11,8,13,10,10,19
000235,16,16,6,10,19,1
000236,9,13,8,14,13,10
000237,19,19,11,14,12,9
000238,11,18,13,16,19,15
000239,3,15,7,1,4,12
000240,8,3,13,5,1,14
000241,8,2,13,6,6,18
000242,15,3,3,8,16,9
000243,17,8,12,13,2,5
000244,12,7,0,13,7,13
000245,6,17,16,6,17,5
000246,14,6,6,8,4,1
000247,4,19,16,17,19,19
000248,18,10,11,8,0,2
000249,3,14,8,8,12,16
000250,5,8,15,16,18,5
000251,10,8,9,4,6,7
000252,13,15,9,13,19,2
000253,17,13,1,5,6,15
000254,4,13,16,12,11,2
000255,18,17,18,0,15,8
000256,1,19,9,18,17,12
000257,3,2,7,14,12,14
000258,17,9,9,3,13,3
000259,6,12,0,5,5,9
000260,7,12,14,9,14,13
000261,16,4,14,1,2,8
000262,0,11,1,6,13,13
000263,19,18,16,10,2,9
000264,11,4,12,18,1,4
000265,12,5,18,17,7,1
000266,12,8,4,2,3,7
000267,5,14,13,4,0,12
000268,17,4,14,1,18,13
000269,13,18,3,6,5,2
000270,8,14,1,4,11,4
000271,2,7,7,13,1,15
000272,8,10,6,20,5,1
000273,10,12,17,18,11,1
000274,19,14,13,19,8,5
000275,18,9,16,15,11,11
000276,18,14,18,7,13,12
000277,10,11,8,7,19,18
000278,1,9,13,5,4,12
000279,10,17,18,11,6,3
000280,8,19,16,18,16,15
000281,2,13,10,2,11,17
000282,1,18,14,12,1,8
000283,12,17,12,5,11,17
000284,6,2,3,10,16,18
000285,10,19,11,11,14,5
000286,16,10,10,0,17,12
000287,6,4,4,3,7,3
000288,9,4,18,4,15,17
000289,13,4,1,3,15,1
000290,2,6,0,7,16,6
000291,14,6,9,14,1,8
000292,3,13,1,9,11,9
000293,8,13,14,6,5,6
000294,5,14,18,13,15,19
000295,16,17,18,4,5,5
000296,5,1,5,9,3,20
000297,6,5,13,5,10,8
000298,7,18,11,6,11,20
000299,15,5,15,10,13,16
000300,18,15,17,5,13,9
000301,2,18,10,14,14,16
000302,15,12,3,11,17,11
000303,6,11,16,1,1,9
000304,15,2,17,9,0,15
000305,1,2,5,16,5,13
000306,14,3,17,4,7,2
000307,11,8,10,0,3,19
000308,5,13,8,9,10,6
000309,13,10,13,14,3,14
000310,9,17,18,0,7,0
000311,11,13,12,5,20,17
000312,7,12,1,10,12,13
000313,16,18,20,9,19,15
000314,10,18,13,3,12,20
000315,12,9,3,12,6,5
000316,10,6,13,14,9,1
000317,18,12,19,2,19,2
000318,4,6,16,11,11,10
000319,5,0,17,2,11,8
000320,20,11,12,12,19,15
000321,20,6,13,3,3,8
000322,10,9,20,5,9,9
000323,3,15,11,7,16,9
000324,18,12,16,1,1,15
000325,9,2,6,15,6,1
000326,14,6,12,5,13,17
000327,19,20,15,8,4,20
000328,17,6,1,12,6,14
000329,19,10,18,5,1,4
000330,0,18,16,5,3,2
000331,20,4,14,20,5,8
000332,7,20,7,2,1,16
000333,2,11,0,15,17,15
000334,2,11,10,19,10,20
000335,4,11,19,11,5,17
000336,11,3,15,19,20,18
000337,11,17,9,7,11,9
000338,9,13,7,18,13,6
000339,8,15,8,9,20,4
000340,2,3,8,11,16,10
000341,6,8,12,1,17,8
000342,14,2,20,19,7,18
000343,6,5,4,9,5,3
000344,17,13,14,5,11,5
000345,16,11,10,11,7,1
000346,18,6,4,8,12,1
000347,7,2,1,14,6,13
000348,0,9,3,14,0,13
000349,18,3,0,4,13,15
000350,16,16,17,0,11,3
000351,13,10,8,17,19,17
000352,7,19,20,8,9,15
000353,9,16,6,10,4,7
000354,14,11,8,12,11,4
000355,20,18,20,10,19,14
000356,14,3,0,19,1,9
000357,13,6,5,18,5,16
000358,18,8,1,10,6,17
000359,10,1,15,1,16,20
000360,14,15,8,0,9,14
000361,17,17,16,1,18,13
000362,0,6,8,13,1,2
000363,2,12,13,3,0,16
000364,2,13,8,6,8,19
000365,14,3,18,19,8,6
000366,0,12,18,3,14,8
000367,16,8,2,1,4,14
000368,5,16,5,18,9,2
000369,4,4,16,16,7,9
000370,19,15,11,5,7,20
000371,18,6,12,5,17,6
000372,19,0,4,16,8,16
000373,10,17,10,11,16,11
000374,17,13,14,6,9,8
000375,13,16,19,19,3,4
000376,5,4,18,4,7,9
000377,5,8,17,13,13,4
000378,11,18,9,12,15,1
000379,14,7,7,13,7,15
000380,12,0,16,15,18,2
000381,10,11,16,19,17,16
000382,11,12,16,1,15,12
000383,11,4,5,3,10,15
000384,17,18,15,5,17,15
000385,17,12,9,4,7,13
000386,1,8,3,5,11,17
000387,18,15,8,7,13,7
000388,7,14,7,8,19,1
000389,4,15,6,12,17,10
000390,19,14,9,18,2,13
000391,6,0,14,12,9,1
000392,7,6,12,17,13,19
000393,2,20,11,14,7,3
000394,0,20,17,9,14,2
000395,11,2,13,1,14,12
000396,7,7,2,12,15,12
000397,0,17,14,7,0,18
000398,12,19,14,4,17,12
000399,18,17,9,11,7,19
000400,19,16,17,18,14,1
000401,2,3,8,19,16,1
000402,16,8,17,8,15,5
000403,6,12,17,6,6,10
000404,10,5,17,15,11,14
000405,13,18,8,7,10,7
000406,15,16,16,7,10,12
000407,8,3,12,6,2,7
000408,5,7,2,0,14,7
000409,16,16,5,1,4,11
000410,1,4,3,15,12,1
000411,14,4,6,16,8,1
000412,8,18,13,18,13,19
000413,3,7,2,11,15,15
000414,15,2,6,16,14,6
000415,2,20,7,17,6,0
000416,10,13,18,9,8,0
000417,20,15,5,6,15,3
000418,6,18,15,5,4,17
000419,12,5,10,3,5,17
000420,10,8,10,14,16,9
000421,19,6,11,7,5,3
000422,9,17,9,15,8,9
000423,6,16,2,16,0,6
000424,6,1,6,5,11,3
000425,9,12,17,2,3,9
000426,15,8,8,1,12,16
000427,20,8,20,11,17,5
000428,17,8,18,7,16,1
000429,7,6,6,17,14,8
000430,9,3,5,8,7,8
000431,9,14,2,9,16,2
000432,2,16,13,16,13,3
000433,8,4,13,19,2,10
000434,5,1,14,19,11,13
000435,15,11,14,12,8,17
000436,13,16,1,20,17,0
000437,11,17,7,12,5,14
000438,17,3,14,14,4,2
000439,20,12,13,11,16,1
000440,6,3,11,11,1,8
000441,9,20,5,14,14,8
000442,9,17,5,8,18,10
000443,6,16,8,1,15,14
000444,15,9,1,15,14,3
000445,11,13,2,16,8,4
000446,3,1,6,13,13,16
000447,14,9,0,13,8,18
000448,3,13,0,10,11,4
000449,16,12,5,7,3,1
000450,6,9,9,18,12,20
000451,8,15,12,5,17,12
000452,20,5,17,11,2,12
000453,10,2,13,16,6,13
000454,7,4,5,0,8,20
000455,6,5,3,6,17,7
000456,1,3,7,5,18,5
000457,11,14,3,4,16,13
000458,12,14,16,10,2,13
000459,15,5,6,3,10,9
000460,3,18,5,1,4,19
000461,1,9,3,16,5,13
000462,8,1,15,11,2,6
000463,11,2,14,15,7,13
000464,17,16,8,11,10,11
000465,1,8,13,14,14,3
000466,9,5,6,8,9,3
000467,7,19,17,11,1,3
000468,14,6,19,3,17,9
000469,15,8,14,1,7,10
000470,9,6,4,1,5,5
000471,6,3,18,3,2,8
000472,8,12,10,11,16,11
000473,9,14,17,4,3,15
000474,1,8,0,18,12,3
000475,5,1,7,9,7,3
000476,8,7,15,19,1,9
000477,13,15,16,1,12,16
000478,10,18,16,19,5,2
000479,11,12,12,1,0,19
000480,7,11,15,19,20,2
000481,9,10,13,8,17,3
000482,15,13,12,15,16,11
000483,4,3,7,1,7,17
000484,12,18,2,17,5,4
000485,15,18,6,7,5,10
000486,14,14,10,13,13,17
000487,9,14,14,5,18,1
000488,11,14,7,7,5,16
000489,12,16,10,1,16,0
000490,9,3,2,18,1,12
000491,18,2,9,15,11,5
000492,14,10,7,7,7,6
000493,1,12,18,5,7,12
000494,14,15,4,19,8,17
000495,20,17,19,4,15,18
000496,10,12,19,11,5,5
000497,14,14,2,16,4,4
000498,8,18,11,13,19,5
000499,0,6,3,11,20,10
000500,7,18,19,5,10,5
000501,5,14,4,7,20,0
000502,3,18,16,12,12,5
000503,8,15,13,1,11,11
000504,7,0,19,15,4,16
000505,14,5,14,0,9,17
000506,0,18,11,19,5,20
000507,17,11,13,4,3,2
000508,7,13,8,18,19,10
000509,2,9,3,5,5,8
000510,1,6,15,7,10,20
000511,2,5,7,3,4,4
000512,14,20,13,9,16,19
000513,4,5,19,5,6,3
000514,18,1,7,18,11,0
000515,17,18,10,12,16,6
000516,11,9,6,7,4,1
000517,11,11,7,5,19,3
000518,17,4,2,19,3,8
000519,12,8,17,18,16,1
000520,14,4,13,5,19,13
000521,17,6,10,4,1,3
000522,10,14,12,2,17,13
000523,3,7,15,12,13,7
000524,16,7,15,4,2,17
000525,9,0,19,5,11,0
000526,16,12,5,6,19,1
000527,12,13,4,9,5,19
000528,17,19,10,18,19,11
000529,15,17,14,1,19,3
000530,10,6,8,2,14,18
000531,16,12,14,11,13,4
000532,5,6,9,19,17,15
000533,2,15,10,5,1,13
000534,13,14,5,9,8,11
000535,12,11,4,13,12,11
000536,13,19,0,18,17,1
000537,15,9,17,13,16,9
000538,8,10,15,3,4,3
000539,17,5,5,12,18,3
000540,11,13,18,4,2,1
000541,9,8,1,14,12,8
000542,2,16,2,12,15,15
000543,16,11,14,17,11,16
000544,2,13,15,14,13,6
000545,18,1,13,4,15,9
000546,13,19,8,1,1,14
000547,15,10,8,3,4,5
000548,5,7,18,5,8,17
000549,8,9,4,10,15,1
000550,17,14,8,18,3,17
000551,11,3,16,18,4,16
000552,10,3,11,13,14,13
000553,4,14,17,18,19,16
000554,8,12,19,14,1,17
000555,11,0,3,17,9,16
000556,4,3,11,9,2,7
000557,1,15,9,12,20,19
000558,6,5,15,4,1,20
000559,6,18,11,17,15,16
000560,15,17,10,13,20,7
000561,12,2,18,1,1,4
000562,13,5,10,13,18,2
000563,0,11,3,1,13,4
000564,9,20,19,1,13,2
000565,6,12,12,12,13,11
000566,5,8,5,1,14,17
000567,4,8,8,11,11,2
000568,19,1,16,16,19,4
000569,3,5,17,4,19,17
000570,3,15,14,10,4,13
000571,12,1,8,13,10,12
000572,16,19,5,7,5,8
000573,10,11,9,2,13,2
000574,1,18,3,16,5,3
000575,6,11,16,9,10,0
000576,19,15,6,16,18,0
000577,3,14,2,14,5,14
000578,6,5,6,15,17,15
000579,4,3,19,3,4,15
000580,17,4,5,9,12,11
000581,9,7,3,20,14,4
000582,19,7,12,14,5,16
000583,6,20,7,17,3,4
000584,12,16,10,12,13,11
000585,15,3,13,9,18,13
000586,16,15,16,4,7,8
000587,9,14,16,0,1,5
000588,12,1,19,19,4,9
000589,1,5,0,3,5,4
000590,9,18,13,12,10,4
000591,4,11,8,9,11,12
000592,18,6,19,0,9,0
000593,14,16,8,16,9,1
000594,9,10,2,1,15,13
000595,16,7,15,13,16,19
000596,5,1,7,18,18,11
000597,9,15,6,12,10,1
000598,12,14,11,3,11,6
000599,1,6,16,20,3,11
000600,16,17,14,8,19,17
000601,0,10,3,10,8,3
000602,4,17,18,12,19,16
000603,12,12,2,19,11,2
000604,9,3,2,19,18,5
000605,15,10,16,11,2,14
000606,5,17,14,6,13,9
000607,12,2,19,0,19,4
000608,18,14,12,10,17,14
000609,16,4,16,9,15,20
000610,18,6,10,7,16,8
000611,1,7,14,5,14,14
000612,8,14,9,6,4,7
000613,17,2,9,1,9,3
000614,2,1,20,11,7,4
000615,19,5,13,15,5,11
000616,10,8,10,13,17,15
000617,19,16,14,15,14,16
000618,13,12,11,12,15,15
000619,6,14,4,2,2,17
000620,6,14,7,18,7,13
000621,6,18,9,10,6,17
000622,3,16,12,6,15,19
000623,13,6,3,1,9,1
000624,10,6,4,17,20,13
000625,3,7,12,2,17,7
000626,6,17,7,19,9,7
000627,11,19,3,11,2,9
000628,1,0,7,4,14,14
000629,3,18,2,14,5,19
000630,16,2,7,1,5,14
000631,19,2,16,0,11,9
000632,10,11,5,4,20,20
000633,20,16,11,8,12,8
000634,14,18,0,7,3,16
000635,12,1,13,10,18,8
000636,13,15,8,2,18,15
000637,5,5,15,17,17,14
000638,3,8,12,19,9,1
000639,11,10,1,9,16,1
000640,11,12,19,9,4,15
000641,2,18,16,17,2,9
000642,4,18,0,18,8,8
000643,6,1,13,4,16,5
000644,13,17,10,18,9,15
000645,16,11,5,4,12,18
000646,15,11,11,9,1,2
000647,14,5,19,8,2,11
000648,17,4,16,18,18,5
000649,12,9,20,10,17,2
000650,15,16,13,9,8,17
000651,19,7,6,9,18,8
000652,0,16,6,1,10,2
000653,17,13,11,14,18,0
000654,2,4,19,2,5,2
000655,4,11,14,4,7,4
000656,1,8,10,14,17,7
000657,0,14,2,3,10,17
000658,13,9,6,11,16,17
000659,6,17,6,1,4,17
000660,15,8,6,15,15,7
000661,13,11,14,12,16,6
000662,1,8,14,6,9,0
000663,8,9,10,18,8,5
000664,11,17,4,7,1,0
000665,9,11,12,7,13,6
000666,16,13,5,11,2,0
000667,13,15,15,19,19,19
000668,17,0,6,13,0,11
000669,7,17,7,6,9,16
000670,0,9,20,16,15,9
000671,6,8,13,12,7,19
000672,16,12,17,6,19,14
000673,18,9,12,10,10,14
000674,19,12,15,20,14,2
000675,10,2,0,19,3,18
000676,6,8,13,9,2,17
000677,8,14,2,11,7,20
000678,5,9,20,17,19,3
000679,13,19,12,19,5,17
000680,5,18,8,2,12,17
000681,12,10,10,8,19,4
000682,18,10,5,15,18,4
000683,12,13,13,16,4,2
000684,9,15,16,10,19,14
000685,5,9,3,8,12,16
000686,11,17,7,6,5,17
000687,17,15,4,3,3,12
000688,7,11,17,13,6,13
000689,16,6,6,4,4,13
000690,20,17,20,15,0,18
000691,7,6,14,7,13,15
000692,6,2,18,8,6,15
000693,0,14,10,12,3,19
000694,11,16,12,13,4,16
000695,16,19,3,14,12,11
000696,17,15,4,10,20,10
000697,11,12,8,3,15,18
000698,5,20,1,14,19,8
000699,15,4,17,1,11,6
000700,5,9,19,12,14,12
000701,15,9,4,14,4,14
000702,9,12,4,20,9,19
000703,19,17,10,8,17,20
000704,16,5,10,16,6,2
000705,6,16,19,19,7,13
000706,5,17,12,14,19,15
000707,12,16,15,18,6,1
000708,16,18,2,13,5,1
000709,0,8,14,8,6,6
000710,2,7,0,11,8,2
000711,3,8,2,15,12,20
000712,7,16,2,4,14,11
000713,0,2,2,14,7,3
000714,2,13,12,16,12,10
000715,3,3,5,19,8,1
000716,5,13,4,10,6,6
000717,0,8,17,14,7,0
000718,9,0,19,13,5,7
000719,14,0,12,1,15,12
000720,18,6,13,1,11,0
000721,20,7,2,14,17,17
000722,5,12,9,11,11,16
000723,2,1,11,10,14,7
000724,8,17,6,15,16,0
000725,9,19,6,10,5,2
000726,10,15,16,20,6,3
000727,14,2,6,4,20,1
000728,9,7,11,17,16,10
000729,3,11,6,12,7,15
000730,14,15,6,16,18,8
000731,5,1,9,14,18,6
000732,8,18,19,6,3,20
000733,5,6,12,3,20,12
000734,13,13,16,5,15,9
000735,15,9,14,12,13,6
000736,14,1,9,12,2,11
000737,15,0,18,9,17,7
000738,14,17,11,15,20,9
000739,14,11,14,14,17,20
000740,9,20,9,11,10,11
000741,14,14,11,13,3,6
000742,13,15,17,12,10,11
000743,13,7,11,13,10,5
000744,19,11,14,19,9,5
000745,13,14,9,15,16,14
000746,8,13,10,16,5,20
000747,11,14,16,9,8,10
000748,5,20,6,17,4,20
000749,11,8,5,10,0,4
000750,11,12,5,6,2,1
000751,19,14,6,7,15,8
000752,15,18,9,3,6,13
000753,6,14,18,14,13,19
000754,15,12,5,5,15,15
000755,8,19,11,1,10,17
000756,8,9,11,6,7,9
000757,8,2,8,7,5,17
000758,5,18,15,2,11,12
000759,13,16,18,3,10,19
000760,9,0,6,1,11,6
000761,5,16,19,5,14,19
000762,6,9,19,16,16,6
000763,2,6,9,14,3,10
000764,18,19,17,14,20,18
000765,7,14,2,5,12,18
000766,15,18,13,16,17,8
000767,6,17,20,6,17,3
000768,3,11,11,15,18,12
000769,4,4,17,9,12,12
000770,12,9,6,11,4,9
000771,17,9,12,8,8,10
000772,2,4,11,18,19,15
000773,17,4,3,5,2,13
000774,6,15,1,5,8,13
000775,4,20,16,19,8,16
000776,17,8,18,15,6,9
000777,10,5,1,18,8,19
000778,4,1,17,18,2,9
000779,5,16,16,19,9,19
000780,18,11,1,8,14,3
000781,18,1,14,20,8,18
000782,8,1,20,2,17,6
000783,7,19,6,3,13,7
000784,15,14,15,2,14,7
000785,1,12,4,4,19,14
000786,1,7,11,3,19,4
000787,1,4,11,4,16,1
000788,19,4,18,3,13,8
000789,3,4,15,6,0,6
000790,16,14,20,17,7,14
000791,7,15,7,8,14,8
000792,10,0,5,9,4,3
000793,7,2,18,12,11,9
000794,19,18,8,17,2,19
000795,10,5,2,4,4,6
000796,19,4,7,5,18,8
000797,17,12,4,19,5,12
000798,19,17,3,6,6,7
000799,1,6,18,8,11,0
000800,20,13,16,16,6,13
000801,12,20,20,20,14,17
000802,4,3,4,8,7,13
000803,4,8,10,8,3,8
000804,15,11,2,12,18,14
000805,0,5,7,19,11,19
000806,7,17,19,4,9,13
000807,5,4,0,7,7,18
000808,3,11,17,16,10,12
000809,14,11,18,19,8,4
000810,5,15,15,6,13,3
000811,15,20,13,20,4,14
000812,3,9,1,8,0,13
000813,14,8,6,14,1,20
000814,5,9,15,9,0,1
000815,4,15,6,14,20,0
000816,18,20,4,13,6,14
000817,8,12,5,12,8,12
000818,3,7,13,12,19,5
000819,3,14,12,1,1,6
000820,14,0,5,12,11,13
000821,6,0,13,5,17,19
000822,17,13,13,15,0,19
000823,19,11,6,9,9,4
000824,5,13,9,4,2,8
000825,3,6,18,19,5,4
000826,14,12,1,4,11,5
000827,13,17,2,19,10,11
000828,12,16,10,19,2,3
000829,13,16,12,19,10,17
000830,5,5,19,19,9,1
000831,13,12,0,18,10,9
000832,13,18,5,6,15,7
000833,7,13,19,1,19,3
000834,18,9,4,19,9,4
000835,8,0,20,0,3,7
000836,2,7,11,18,15,18
000837,5,17,14,16,18,13
000838,2,20,6,7,1,6
000839,15,5,0,18,19,19
000840,15,13,4,8,19,12
000841,11,9,0,1,18,4
000842,11,19,18,5,1,10
000843,9,2,3,9,3,1
000844,0,8,5,9,19,0
000845,10,17,20,15,15,13
000846,16,10,2,5,12,8
000847,2,18,16,17,15,13
000848,18,2,1,17,8,19
000849,10,2,10,7,6,4
000850,10,14,2,18,17,9
000851,5,19,18,15,8,13
000852,12,19,3,13,4,18
000853,5,11,13,9,11,14
000854,18,1,8,0,0,18
000855,10,3,10,9,7,17
000856,13,3,12,11,3,15
000857,19,5,11,16,17,11
000858,20,4,4,5,10,16
000859,4,0,2,3,18,2
000860,18,0,8,16,5,7
000861,1,3,6,11,19,8
000862,17,10,13,0,4,9
000863,13,13,4,14,7,7
000864,1,2,14,12,6,18
000865,12,10,9,9,19,2
000866,12,8,12,2,14,15
000867,0,14,4,0,12,8
000868,2,15,9,4,9,6
000869,16,7,18,1,20,11
000870,13,5,10,7,13,17
000871,18,4,7,8,6,1
000872,4,16,10,0,19,13
000873,11,18,7,16,11,14
000874,4,9,18,17,7,6
000875,11,17,7,9,17,1
000876,13,12,4,2,7,3
000877,4,20,19,7,4,12
000878,19,18,7,1,13,8
000879,2,2,12,11,10,11
000880,14,16,4,20,12,4
000881,8,9,3,20,17,19
000882,14,6,5,2,12,11
000883,20,16,6,3,5,10
000884,16,14,19,11,9,12
000885,17,8,1,17,15,2
000886,18,11,15,0,9,2
000887,9,9,6,3,9,13
000888,1,12,18,2,7,12
000889,18,5,0,17,5,17
000890,17,0,6,19,19,4
000891,18,13,14,18,5,18
000892,1,1,14,12,12,8
000893,9,12,9,5,1,14
000894,20,3,2,9,6,6
000895,2,19,11,9,1,14
000896,9,7,10,8,4,2
000897,5,11,2,15,19,4
000898,15,8,7,15,8,16
000899,6,2,8,4,9,4
000900,1,10,5,3,6,1
000901,13,10,19,14,16,5
000902,8,6,5,12,1,12
000903,8,19,14,18,9,2
000904,11,11,13,10,17,8
000905,3,9,9,6,5,2
000906,4,6,1,16,10,16
000907,9,16,14,18,3,9
000908,15,1,6,2,4,19
000909,16,19,4,6,8,9
000910,12,4,2,3,6,14
000911,18,6,5,16,13,13
000912,17,14,12,18,5,1
000913,1,20,16,1,5,4
000914,18,3,15,5,3,14
000915,1,12,6,13,5,7
000916,11,9,17,10,16,18
000917,12,9,3,7,7,12
000918,15,17,8,0,7,19
000919,3,7,20,13,10,10
000920,18,16,18,13,9,8
000921,5,18,15,7,12,14
